GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
account-manager-webapi,com.github.prbpedro.accountmanager.webapi.dto,TransferTransactioReturnModel,3,75,0,2,2,21,1,8,1,7
account-manager-webapi,com.github.prbpedro.accountmanager.webapi.dto,TransferTransactionConfirmationModel,0,45,0,0,0,20,0,13,0,13
account-manager-webapi,com.github.prbpedro.accountmanager.webapi.controller,TransferTransactionController,27,59,1,5,6,11,1,5,0,3
account-manager-webapi,com.github.prbpedro.accountmanager.webapi.controller,DatabaseDataController,5,13,0,0,2,2,0,2,0,2
account-manager-webapi,com.github.prbpedro.accountmanager.webapi,Main,13,99,2,2,4,25,3,2,1,2
